country,state_id,zip,city,street
United States,MA,01085,Westfield,,
United States,MA,01088,West Hatfield,,
United States,MA,01089,West Springfield,,
United States,MA,01092,West Warren,,
United States,MA,01093,Whately,,
United States,MA,01094,Wheelwright,,
United States,MA,01095,Wilbraham,,
United States,MA,01096,Williamsburg,,
United States,MA,01097,Woronoco,,
United States,MA,01098,Worthington,,
United States,MA,01103,Springfield,,
United States,MA,01104,Springfield,,
United States,MA,01105,Springfield,,
United States,MA,01106,Longmeadow,,
United States,MA,01107,Springfield,,
United States,MA,01108,Springfield,,
United States,MA,01109,Springfield,,
United States,MA,01118,Springfield,,
United States,MA,01119,Springfield,,
United States,MA,01128,Springfield,,
United States,MA,01129,Springfield,,
United States,MA,01144,Springfield,,
United States,MA,01151,Indian Orchard,,
United States,MA,01201,Pittsfield,,
United States,MA,01220,Adams,,
United States,MA,01222,Ashley Falls,,
United States,MA,01223,Becket,,
United States,MA,01224,Berkshire,,
United States,MA,01225,Cheshire,,
United States,MA,01226,Dalton,,
United States,MA,01229,Glendale,,
United States,MA,01230,Great Barrington,,
United States,MA,01235,Hinsdale,,
United States,MA,01236,Housatonic,,
United States,MA,01237,Lanesborough,,
United States,MA,01238,Lee,,
United States,MA,01240,Lenox,,
United States,MA,01242,Lenox Dale,,
United States,MA,01243,Middlefield,,
United States,MA,01244,Mill River,,
United States,MA,01245,Monterey,,
United States,MA,01247,North Adams,,
United States,MA,01253,Otis,,
United States,MA,01254,Richmond,,
United States,MA,01255,Sandisfield,,
United States,MA,01256,Savoy,,
United States,MA,01257,Sheffield,,
United States,MA,01258,South Egremont,,
United States,MA,01259,Southfield,,
United States,MA,01260,South Lee,,
United States,MA,01262,Stockbridge,,
United States,MA,01264,Tyringham,,
United States,MA,01266,West Stockbridge,,
United States,MA,01267,Williamstown,,
United States,MA,01270,Windsor,,
United States,MA,01301,Greenfield,,
United States,MA,01330,Ashfield,,
United States,MA,01331,Athol,,
United States,MA,01337,Bernardston,,
United States,MA,01338,Buckland,,
United States,MA,01339,Charlemont,,
United States,MA,01340,Colrain,,
United States,MA,01341,Conway,,
United States,MA,01342,Deerfield,,
United States,MA,01343,Drury,,
United States,MA,01344,Erving,,
United States,MA,01346,Heath,,
United States,MA,01347,Lake Pleasant,,
United States,MA,01349,Millers Falls,,
United States,MA,01350,Monroe Bridge,,
United States,MA,01351,Montague,,
United States,MA,01354,Gill,,
United States,MA,01355,New Salem,,
United States,MA,01360,Northfield,,
United States,MA,01364,Orange,,
United States,MA,01366,Petersham,,
United States,MA,01367,Rowe,,
United States,MA,01368,Royalston,,
United States,MA,01370,Shelburne Falls,,
United States,MA,01373,South Deerfield,,
United States,MA,01375,Sunderland,,
United States,MA,01376,Turners Falls,,
United States,MA,01378,Warwick,,
United States,MA,01379,Wendell,,
United States,MA,01380,Wendell Depot,,
United States,MA,01420,Fitchburg,,
United States,MA,01430,Ashburnham,,
United States,MA,01431,Ashby,,
United States,MA,01432,Ayer,,
United States,MA,01434,Devens,,
United States,MA,01436,Baldwinville,,
United States,MA,01438,East Templeton,,
United States,MA,01440,Gardner,,
United States,MA,01450,Groton,,
United States,MA,01451,Harvard,,
United States,MA,01452,Hubbardston,,
United States,MA,01453,Leominster,,
United States,MA,01460,Littleton,,
United States,MA,01462,Lunenburg,,
United States,MA,01463,Pepperell,,
United States,MA,01464,Shirley,,
United States,MA,01468,Templeton,,
United States,MA,01469,Townsend,,
United States,MA,01473,Westminster,,
United States,MA,01474,West Townsend,,
United States,MA,01475,Winchendon,,
United States,MA,01501,Auburn,,
United States,MA,01503,Berlin,,
United States,MA,01504,Blackstone,,
United States,MA,01505,Boylston,,
United States,MA,01506,Brookfield,,
United States,MA,01507,Charlton,,
United States,MA,01510,Clinton,,
United States,MA,01515,East Brookfield,,
United States,MA,01516,Douglas,,
United States,MA,01518,Fiskdale,,
United States,MA,01519,Grafton,,
United States,MA,01520,Holden,,
United States,MA,01521,Holland,,
United States,MA,01522,Jefferson,,
United States,MA,01523,Lancaster,,
United States,MA,01524,Leicester,,
United States,MA,01525,Linwood,,
United States,MA,01527,Millbury,,
United States,MA,01529,Millville,,
United States,MA,01531,New Braintree,,
United States,MA,01532,Northborough,,
United States,MA,01534,Northbridge,,
United States,MA,01535,North Brookfield,,
United States,MA,01536,North Grafton,,
United States,MA,01537,North Oxford,,
United States,MA,01540,Oxford,,
United States,MA,01541,Princeton,,
United States,MA,01542,Rochdale,,
United States,MA,01543,Rutland,,
United States,MA,01545,Shrewsbury,,
United States,MA,01550,Southbridge,,
United States,MA,01560,South Grafton,,
United States,MA,01561,South Lancaster,,
United States,MA,01562,Spencer,,
United States,MA,01564,Sterling,,
United States,MA,01566,Sturbridge,,
United States,MA,01568,Upton,,
United States,MA,01569,Uxbridge,,
United States,MA,01570,Webster,,
United States,MA,01571,Dudley,,
United States,MA,01581,Westborough,,
United States,MA,01583,West Boylston,,
United States,MA,01585,West Brookfield,,
United States,MA,01588,Whitinsville,,
United States,MA,01590,Sutton,,
United States,MA,01602,Worcester,,
United States,MA,01603,Worcester,,
United States,MA,01604,Worcester,,
United States,MA,01605,Worcester,,
United States,MA,01606,Worcester,,
United States,MA,01607,Worcester,,
United States,MA,01608,Worcester,,
United States,MA,01609,Worcester,,
United States,MA,01610,Worcester,,
United States,MA,01611,Cherry Valley,,
United States,MA,01612,Paxton,,
United States,MA,01701,Framingham,,
United States,MA,01702,Framingham,,
United States,MA,01718,Acton,,
United States,MA,01719,Boxborough,,
United States,MA,01720,Acton,,
United States,MA,01721,Ashland,,
United States,MA,01730,Bedford,,
United States,MA,01731,Hanscom Afb,,
United States,MA,01740,Bolton,,
United States,MA,01741,Carlisle,,
United States,MA,01742,Concord,,
United States,MA,01745,Fayville,,
United States,MA,01746,Holliston,,
United States,MA,01747,Hopedale,,
United States,MA,01748,Hopkinton,,
United States,MA,01749,Hudson,,
United States,MA,01752,Marlborough,,
United States,MA,01754,Maynard,,
United States,MA,01756,Mendon,,
United States,MA,01757,Milford,,
United States,MA,01760,Natick,,
United States,MA,01770,Sherborn,,
United States,MA,01772,Southborough,,
United States,MA,01773,Lincoln,,
United States,MA,01775,Stow,,
United States,MA,01776,Sudbury,,
United States,MA,01778,Wayland,,
United States,MA,01801,Woburn,,
United States,MA,01803,Burlington,,
United States,MA,01810,Andover,,
United States,MA,01821,Billerica,,
United States,MA,01824,Chelmsford,,
United States,MA,01826,Dracut,,
United States,MA,01827,Dunstable,,
United States,MA,01830,Haverhill,,
United States,MA,01832,Haverhill,,
United States,MA,01833,Georgetown,,
United States,MA,01834,Groveland,,
United States,MA,01835,Haverhill,,
United States,MA,01840,Lawrence,,
